Tests
############################################################################################## Test 1 ##############################################################################################
Historical performance | 2025-06-02 -> 2025-09-30
Date           Recs   Wins  Losses  Skipped  Accuracy%   AvgRet%    Invested         PnL
--------------------------------------------------------------------------------------------------------------
2025-06-02        5      3       2     1956     60.00%     0.01%       30.00        0.00
2025-06-03        5      3       2     1957     60.00%     0.51%       30.00        0.15
2025-06-04        5      4       1     1960     80.00%     0.93%       30.00        0.28
2025-06-05        5      0       5     1957      0.00%    -1.03%       30.00       -0.31
2025-06-06        5      3       2     1956     60.00%     0.42%       30.00        0.13
2025-06-09        5      3       2     1956     60.00%     0.42%       30.00        0.13
2025-06-10        5      3       2     1956     60.00%     1.09%       30.00        0.33
2025-06-11        5      0       5     1957      0.00%    -0.47%       30.00       -0.14
2025-06-12        5      1       4     1958     20.00%    -0.89%       30.00       -0.27
2025-06-13        5      1       4     1957     20.00%    -0.78%       30.00       -0.23
2025-06-16        5      1       4     1957     20.00%    -0.31%       30.00       -0.09
2025-06-17        5      2       3     1951     40.00%    -0.13%       30.00       -0.04
2025-06-18        5      0       5     1955      0.00%    -1.69%       30.00       -0.51
2025-06-19        5      3       2     1953     60.00%     0.07%       30.00        0.02
2025-06-20        5      0       5     1960      0.00%    -1.74%       30.00       -0.52
2025-06-23        5      3       2     1958     60.00%     0.65%       30.00        0.19
2025-06-24        5      2       3     1957     40.00%    -0.38%       30.00       -0.11
2025-06-25        5      4       1     1955     80.00%     0.41%       30.00        0.12
2025-06-26        5      2       3     1956     40.00%     0.45%       30.00        0.13
2025-06-27        5      3       2     1958     60.00%     0.62%       30.00        0.19
2025-06-30        5      3       2     1962     60.00%     1.11%       30.00        0.33
2025-07-01        5      4       1     1955     80.00%     2.96%       30.00        0.89
2025-07-02        5      0       5     1963      0.00%    -0.39%       30.00       -0.12
2025-07-03        5      3       2     1952     60.00%     0.95%       30.00        0.28
2025-07-04        5      2       3     1959     40.00%    -0.04%       30.00       -0.01
2025-07-07        5      2       3     1953     40.00%     0.34%       30.00        0.10
2025-07-08        5      1       4     1949     20.00%     0.04%       30.00        0.01
2025-07-09        5      3       2     1951     60.00%     0.25%       30.00        0.08
2025-07-10        5      3       2     1960     60.00%    -0.11%       30.00       -0.03
2025-07-11        5      3       2     1953     60.00%     0.30%       30.00        0.09
2025-07-14        5      3       2     1952     60.00%     0.14%       30.00        0.04
2025-07-15        5      2       3     1953     40.00%    -0.48%       30.00       -0.14
2025-07-16        5      4       1     1951     80.00%     1.19%       30.00        0.36
2025-07-17        5      3       2     1960     60.00%     0.80%       30.00        0.24
2025-07-18        5      0       5     1961      0.00%    -1.70%       30.00       -0.51
2025-07-21        5      2       3     1952     40.00%     0.27%       30.00        0.08
2025-07-22        5      5       0     1963    100.00%     2.78%       30.00        0.83
2025-07-23        5      2       3     1969     40.00%    -0.51%       30.00       -0.15
2025-07-24        5      0       5     1956      0.00%    -0.45%       30.00       -0.14
2025-07-25        5      5       0     1953    100.00%     1.46%       30.00        0.44
2025-07-28        5      1       4     1951     20.00%    -0.59%       30.00       -0.18
2025-07-29        5      3       2     1948     60.00%     0.52%       30.00        0.16
2025-07-30        5      0       5     1954      0.00%    -1.02%       30.00       -0.31
2025-07-31        5      0       5     1954      0.00%    -0.82%       30.00       -0.24
2025-08-01        5      1       4     1948     20.00%    -0.18%       30.00       -0.05
2025-08-04        5      4       1     1952     80.00%     1.07%       30.00        0.32
2025-08-05        5      4       1     1960     80.00%     1.23%       30.00        0.37
2025-08-06        5      3       2     1961     60.00%    -0.02%       30.00       -0.00
2025-08-07        5      2       3     1953     40.00%    -0.55%       30.00       -0.17
2025-08-08        5      3       2     1961     60.00%     0.50%       30.00        0.15
2025-08-11        5      2       3     1956     40.00%    -0.66%       30.00       -0.20
2025-08-12        5      5       0     1954    100.00%     1.33%       30.00        0.40
2025-08-13        5      3       2     1964     60.00%     0.08%       30.00        0.03
2025-08-14        5      4       1     1960     80.00%     0.32%       30.00        0.10
2025-08-15        5      2       3     1957     40.00%     0.20%       30.00        0.06
2025-08-18        5      3       2     1962     60.00%    -0.02%       30.00       -0.01
2025-08-19        5      3       2     1955     60.00%    -0.81%       30.00       -0.24
2025-08-20        5      4       1     1967     80.00%     3.11%       30.00        0.93
2025-08-21        5      2       3     1965     40.00%    -0.30%       30.00       -0.09
2025-08-22        5      5       0     1964    100.00%     1.16%       30.00        0.35
2025-08-25        5      1       4     1958     20.00%    -0.95%       30.00       -0.28
